"species" "gbifID" "countryCode" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "year" "basisOfRecord" "source" "Accession"
"1" "Malus coronaria" 891734527 "US" 43.088333 -84.726167 NA 2013 "HUMAN_OBSERVATION" "GBIF" NA
"2" "Malus coronaria" 768788963 "US" 43.61555 -84.24722 20000 1931 "PRESERVED_SPECIMEN" "GBIF" NA
"3" "Malus coronaria" 768788587 "US" 40.89888 -74.70638 3 1945 "PRESERVED_SPECIMEN" "GBIF" NA
"4" "Malus coronaria" 768788528 "US" 41.83333 -88.08333 NA 1894 "PRESERVED_SPECIMEN" "GBIF" NA
"5" "Malus coronaria" 768788527 "US" 42.97083 -82.425 5000 1892 "PRESERVED_SPECIMEN" "GBIF" NA
"6" "Malus coronaria" 768788526 "US" 35.58 -82.55583 20000 NA "PRESERVED_SPECIMEN" "GBIF" NA
"7" "Malus coronaria" 768788521 "US" 41.47611 -73.23694 3 1995 "PRESERVED_SPECIMEN" "GBIF" NA
"8" "Malus coronaria" 574773661 "CA" 43.183333 -80.4 NA NA "LIVING_SPECIMEN" "GBIF" NA
"9" "Malus coronaria" 4946543627 "US" 42.691113 -83.614231 NA 2024 "HUMAN_OBSERVATION" "GBIF" NA
"10" "Malus coronaria" 4946454007 "CA" 42.595904 -81.901604 4 2024 "HUMAN_OBSERVATION" "GBIF" NA
"11" "Malus coronaria" 4945657237 "CA" 42.641201 -80.575482 8 2024 "HUMAN_OBSERVATION" "GBIF" NA
"12" "Malus coronaria" 4936242788 "US" 43.197209 -88.017215 455 2024 "HUMAN_OBSERVATION" "GBIF" NA
"13" "Malus coronaria" 4911369586 "US" 41.20749 -80.99338 NA 2023 "PRESERVED_SPECIMEN" "GBIF" NA
"14" "Malus coronaria" 4911068861 "US" 35.448733 -86.027867 NA 2022 "HUMAN_OBSERVATION" "GBIF" NA
"15" "Malus coronaria" 4910824266 "US" 39.076333 -84.413247 5 2024 "HUMAN_OBSERVATION" "GBIF" NA
"16" "Malus coronaria" 4908895988 "US" 43.59 -83.894444 NA 2021 "HUMAN_OBSERVATION" "GBIF" NA
"17" "Malus coronaria" 4908294140 "CA" 43.376948 -80.342542 7 2024 "HUMAN_OBSERVATION" "GBIF" NA
"18" "Malus coronaria" 4903721678 "US" 40.507028 -80.362265 244 2024 "HUMAN_OBSERVATION" "GBIF" NA
"19" "Malus coronaria" 4902024664 "CA" 42.622841 -81.926657 3 2024 "HUMAN_OBSERVATION" "GBIF" NA
"20" "Malus coronaria" 4898114345 "US" 43.306166 -86.086333 NA 1998 "PRESERVED_SPECIMEN" "GBIF" NA
"21" "Malus coronaria" 4898055804 "US" 41.733333 -86.366666 NA 2016 "PRESERVED_SPECIMEN" "GBIF" NA
"22" "Malus coronaria" 4891781265 "US" 41.1831 -81.220323 27847 2024 "HUMAN_OBSERVATION" "GBIF" NA
"23" "Malus coronaria" 4891636020 "US" 41.135815 -81.598766 27847 2024 "HUMAN_OBSERVATION" "GBIF" NA
"24" "Malus coronaria" 4872265031 "CA" 43.15686 -80.68575 4 2024 "HUMAN_OBSERVATION" "GBIF" NA
"25" "Malus coronaria" 4867810916 "CA" 43.219267 -81.895925 NA 2024 "HUMAN_OBSERVATION" "GBIF" NA
"26" "Malus coronaria" 4867663521 "US" 40.833653 -80.524637 4 2024 "HUMAN_OBSERVATION" "GBIF" NA
"27" "Malus coronaria" 4867558870 "CA" 42.711217 -80.477272 NA 2024 "HUMAN_OBSERVATION" "GBIF" NA
"28" "Malus coronaria" 4863413801 "US" 41.032395 -81.234629 27847 2024 "HUMAN_OBSERVATION" "GBIF" NA
"29" "Malus coronaria" 4855512770 "US" 42.476272 -71.329322 4 2024 "HUMAN_OBSERVATION" "GBIF" NA
"30" "Malus coronaria" 4855235175 "US" 40.721218 -74.524723 6 2024 "HUMAN_OBSERVATION" "GBIF" NA
"31" "Malus coronaria" 4855189532 "US" 39.791737 -91.291162 19 2024 "HUMAN_OBSERVATION" "GBIF" NA
"32" "Malus coronaria" 4854969014 "US" 41.315055 -81.268961 27816 2024 "HUMAN_OBSERVATION" "GBIF" NA
"33" "Malus coronaria" 4853572411 "US" 39.769942 -79.887422 3036 1950 "PRESERVED_SPECIMEN" "GBIF" NA
"34" "Malus coronaria" 4853571529 "US" 42.415418 -83.155659 409 1950 "PRESERVED_SPECIMEN" "GBIF" NA
"35" "Malus coronaria" 4853571341 "US" 34.933337 -83.820977 7096 1985 "PRESERVED_SPECIMEN" "GBIF" NA
"36" "Malus coronaria" 4853201030 "US" 40.173109 -80.139964 7 2024 "HUMAN_OBSERVATION" "GBIF" NA
"37" "Malus coronaria" 4853141922 "US" 39.494436 -76.691542 20 2024 "HUMAN_OBSERVATION" "GBIF" NA
"38" "Malus coronaria" 4853091615 "US" 39.494429 -76.69103 3 2024 "HUMAN_OBSERVATION" "GBIF" NA
"39" "Malus coronaria" 4853021387 "US" 39.494419 -76.691475 4 2024 "HUMAN_OBSERVATION" "GBIF" NA
"40" "Malus coronaria" 4852774565 "CA" 42.671727 -80.403162 4 2023 "HUMAN_OBSERVATION" "GBIF" NA
"41" "Malus coronaria" 4852454101 "US" 41.775682 -72.720082 953 2024 "HUMAN_OBSERVATION" "GBIF" NA
"42" "Malus coronaria" 4852175840 "US" 42.961041 -85.702854 7 2024 "HUMAN_OBSERVATION" "GBIF" NA
"43" "Malus coronaria" 4851958217 "US" 40.761363 -73.752555 11 2024 "HUMAN_OBSERVATION" "GBIF" NA
"44" "Malus coronaria" 4851884930 "US" 39.477318 -74.545044 23 2024 "HUMAN_OBSERVATION" "GBIF" NA
"45" "Malus coronaria" 4851778686 "US" 40.619175 -79.151333 1641 2024 "HUMAN_OBSERVATION" "GBIF" NA
"46" "Malus coronaria" 4607529910 "US" 38.261398 -81.56899 339 2024 "HUMAN_OBSERVATION" "GBIF" NA
"47" "Malus coronaria" 4607357273 "US" 38.930285 -84.104393 36 2024 "HUMAN_OBSERVATION" "GBIF" NA
"48" "Malus coronaria" 4606519305 "US" 42.080264 -88.249732 27692 2016 "HUMAN_OBSERVATION" "GBIF" NA
"49" "Malus coronaria" 4600006924 "US" 41.130923 -81.140344 80 2023 "HUMAN_OBSERVATION" "GBIF" NA
"50" "Malus coronaria" 4596743268 "CA" 42.948028 -81.395953 15 2005 "HUMAN_OBSERVATION" "GBIF" NA
"51" "Malus coronaria" 4536674767 "US" 35.525129 -82.97167 896 1933 "PRESERVED_SPECIMEN" "GBIF" NA
"52" "Malus coronaria" 4535799725 "US" 40.728615 -73.402226 27908 2023 "HUMAN_OBSERVATION" "GBIF" NA
"53" "Malus coronaria" 4531609351 "US" 39.206089 -76.747492 20 2012 "PRESERVED_SPECIMEN" "GBIF" NA
"54" "Malus coronaria" 4527917544 "US" 41.329886 -80.399454 3 2021 "HUMAN_OBSERVATION" "GBIF" NA
"55" "Malus coronaria" 4522596615 "US" 41.386731 -81.448532 27816 1987 "HUMAN_OBSERVATION" "GBIF" NA
"56" "Malus coronaria" 4522443861 "CA" 42.661497 -81.063167 4 2023 "HUMAN_OBSERVATION" "GBIF" NA
"57" "Malus coronaria" 4519175158 "US" 39.621069 -84.004973 4 2023 "HUMAN_OBSERVATION" "GBIF" NA
"58" "Malus coronaria" 4513879374 "US" 41.39423 -82.84703 NA 2022 "PRESERVED_SPECIMEN" "GBIF" NA
"59" "Malus coronaria" 4510642606 "US" 41.540061 -90.58043 500 1964 "PRESERVED_SPECIMEN" "GBIF" NA
"60" "Malus coronaria" 4510642603 "US" 41.718939 -83.712994 4500 1925 "PRESERVED_SPECIMEN" "GBIF" NA
