"species" "gbifID" "countryCode" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "year" "basisOfRecord" "source"
"1" "Malus fusca" 883416101 "CA" 54.587002 -128.660004 180 2007 "PRESERVED_SPECIMEN" "GBIF"
"2" "Malus fusca" 883416095 "CA" 54.584999 -128.658997 180 2007 "PRESERVED_SPECIMEN" "GBIF"
"3" "Malus fusca" 883416094 "CA" 54.589199 -128.653 180 2007 "PRESERVED_SPECIMEN" "GBIF"
"4" "Malus fusca" 883416086 "CA" 54.034302 -128.658005 180 2007 "PRESERVED_SPECIMEN" "GBIF"
"5" "Malus fusca" 883416073 "CA" 55.022301 -128.313004 180 2008 "PRESERVED_SPECIMEN" "GBIF"
"6" "Malus fusca" 883416062 "CA" 55.019444 -128.32917 4000 2006 "PRESERVED_SPECIMEN" "GBIF"
"7" "Malus fusca" 574721800 "CA" 49.233333 -123.183333 NA NA "LIVING_SPECIMEN" "GBIF"
"8" "Malus fusca" 4946683373 "US" 47.081231 -122.719863 3 2024 "HUMAN_OBSERVATION" "GBIF"
"9" "Malus fusca" 4946663186 "US" 47.050597 -122.9768 5 2024 "HUMAN_OBSERVATION" "GBIF"
"10" "Malus fusca" 4946528649 "CA" 49.120837 -125.896179 199 2024 "HUMAN_OBSERVATION" "GBIF"
"11" "Malus fusca" 4946450863 "CA" 49.910087 -126.649653 9 2024 "HUMAN_OBSERVATION" "GBIF"
"12" "Malus fusca" 4946336296 "US" 47.516923 -122.307974 9 2024 "HUMAN_OBSERVATION" "GBIF"
"13" "Malus fusca" 4946280850 "CA" 48.76818 -123.803917 3 2024 "HUMAN_OBSERVATION" "GBIF"
"14" "Malus fusca" 4946159364 "US" 48.124103 -124.6408 67 2024 "HUMAN_OBSERVATION" "GBIF"
"15" "Malus fusca" 4946145933 "US" 45.617373 -122.729283 4 2022 "HUMAN_OBSERVATION" "GBIF"
"16" "Malus fusca" 4945906015 "CA" 49.138056 -125.576389 NA 2024 "HUMAN_OBSERVATION" "GBIF"
"17" "Malus fusca" 4945702520 "CA" 49.334942 -124.903769 4 2024 "HUMAN_OBSERVATION" "GBIF"
"18" "Malus fusca" 4945586559 "CA" 49.011708 -122.465523 182 2024 "HUMAN_OBSERVATION" "GBIF"
"19" "Malus fusca" 4945558080 "CA" 49.91295 -126.648595 9 2024 "HUMAN_OBSERVATION" "GBIF"
"20" "Malus fusca" 4945557618 "US" 45.346993 -121.995476 NA 2024 "HUMAN_OBSERVATION" "GBIF"
"21" "Malus fusca" 4937063711 "CA" 49.737195 -123.898033 4 2023 "HUMAN_OBSERVATION" "GBIF"
"22" "Malus fusca" 4936954780 "CA" 49.638867 -123.98497 8 2020 "HUMAN_OBSERVATION" "GBIF"
"23" "Malus fusca" 4936873031 "CA" 49.113269 -121.976563 659 2024 "HUMAN_OBSERVATION" "GBIF"
"24" "Malus fusca" 4936869853 "CA" 49.479708 -123.758513 4 2024 "HUMAN_OBSERVATION" "GBIF"
"25" "Malus fusca" 4936857431 "CA" 53.816356 -128.486894 NA 2024 "HUMAN_OBSERVATION" "GBIF"
"26" "Malus fusca" 4936818909 "US" 47.570412 -122.01407 5 2024 "HUMAN_OBSERVATION" "GBIF"
"27" "Malus fusca" 4936801546 "US" 45.348875 -121.995885 NA 2024 "HUMAN_OBSERVATION" "GBIF"
"28" "Malus fusca" 4936778713 "CA" 49.54375 -123.759289 4 2023 "HUMAN_OBSERVATION" "GBIF"
"29" "Malus fusca" 4936757105 "CA" 49.47994 -123.758778 4 2022 "HUMAN_OBSERVATION" "GBIF"
"30" "Malus fusca" 4936612727 "CA" 49.477292 -122.881715 2 2024 "HUMAN_OBSERVATION" "GBIF"
"31" "Malus fusca" 4936606282 "CA" 49.126458 -123.196377 NA 2024 "HUMAN_OBSERVATION" "GBIF"
"32" "Malus fusca" 4936425142 "CA" 49.384589 -123.494192 7 2022 "HUMAN_OBSERVATION" "GBIF"
"33" "Malus fusca" 4936401201 "CA" 49.445563 -123.715854 4 2022 "HUMAN_OBSERVATION" "GBIF"
